row_count,field_count,field_name_values,name_unique_count,name_unique_values,in_portland
,,,,Maplewood,
,,,,Markham,
,,,,Marrion,
,,,,Marshall Park,
,,,,Martinazzi Woods,
,,,,Marylhurst,
,,,,Maywood Park,
,,,,Mcloughlin,
,,,,Mcloughlin Industrial,
,,,,Mcvey-South Shore,
,,,,Meadow Glade,
,,,,Meadow Homes,
,,,,Midwest,
,,,,Mill Park,
,,,,Milwaukie,
,,,,Milwaukie Business Industrial,
,,,,Molalla,
,,,,Montavilla,
,,,,Mountain Park,
,,,,Mountain View,
,,,,Mt Hood Corridor,
,,,,Mt Hood Forest Area,
,,,,Mt. Scott-Arleta,
,,,,Mt. Tabor,
,,,,Mulino,
,,,,Multnomah,
,,,,Multnomah Co Unclaimed #14,
,,,,Ne Community Nemcca Area,
,,,,Ne Hazel Dell,
,,,,Neighbors Southwest,
,,,,North Central,
,,,,North Clackamas,
,,,,North Fork Lewis River,
,,,,North Garrison Heights,
,,,,North Gresham,
,,,,North Hearthwood,
,,,,North Image,
,,,,North Salmon Creek,
,,,,North Shore Country Club,
,,,,North Tabor,
,,,,North Troutdale,
,,,,Northcrest,
,,,,Northfield,
,,,,Northwest,
,,,,Northwest District,
,,,,Northwest Heights,
,,,,Northwest Industrial,
,,,,Northwood,
,,,,Oak Creek,
,,,,Oak Grove Community Council,
,,,,Oakbrook,
,,,,Ogden,
,,,,Old Evergreen Hwy,
,,,,Old Town,
,,,,Old Town/Chinatown,
,,,,Other,
,,,,Overlook,
,,,,Palisades,
,,,,Park Place,
,,,,Parker Crest,
,,,,Parkrose,
,,,,Parkrose Heights,
,,,,Parkside,
,,,,Parkway East,
,,,,Pearl,
,,,,Piedmont,
,,,,Pleasant Highlands,
,,,,Pleasant Valley,
,,,,Portland Downtown,
,,,,Portland Pdx Airport Area,
,,,,Portland Unclaimed #1,
,,,,Portland Unclaimed #2,
,,,,Portland Unclaimed #5,
,,,,Portsmouth,
,,,,Powell Valley,
,,,,Powellhurst-Gilbert,
,,,,Ramblin Creek Est,
,,,,Redland - Fischers Mill - Viola,
,,,,Reed,
,,,,Rhododendron,
,,,,Richmond,
,,,,Ridgefield Junction,
,,,,Rivercrest,
,,,,Riverdale Area,
,,,,Rivergrove,
,,,,Riveridge,
,,,,Riverpark,
,,,,Riverview,
,,,,Riverview Cemetery Area,
,,,,Roads End,
,,,,Robinwood,
,,,,Rock Creek,
,,,,Rockwood,
,,,,Rose City Park,
,,,,Rose Village,
,,,,Rosemont Summit,
,,,,Roseway,
,,,,Rosewood,
,,,,Russell,
,,,,Sabin,
,,,,Sandy,
,,,,Savanna Oaks,
,,,,Sellwood-Moreland,
,,,,Sexton Mountain,
,,,,Sherwood,
,,,,Shumway,
,,,,Sifton,
,,,,Skylands,
,,,,Skyline Ridge,
,,,,South Beaverton,
,,,,South Burlingame,
,,,,South Canby,
,,,,South Clackamas County,
,,,,South Cliff,
,,,,South End,
,,,,South Portland,
,,,,South Tabor,
,,,,Southgate,
,,,,Southwest Hills,
,,,,St. Johns,
,,,,Stafford Tualatin,
,,,,Sullivan's Gulch,
,,,,Sumner,
,,,,Sunderland,
,,,,Sunnyside,
,,,,Sunrise,
,,,,Sunset,
,,,,Sweetbriar,
,,,,Sylvan-Highlands,
,,,,Tower Vista,
,,,,Town Center,
,,,,Troutdale Area,
,,,,Truman,
,,,,Tryon Creek Area,
,,,,Two Rivers,
,,,,University Park,
,,,,Uplands,
,,,,Vancouver - Sunnyside,
,,,,Vancouver Heights,
,,,,Vanmall,
,,,,Vernon,
,,,,Village At Fishers Landing,
,,,,Vose,
,,,,W Sandy River Area,
,,,,Waluga,
,,,,Washougal River,
,,,,West Beaverton,
,,,,West Hazel Dell,
,,,,West Minnehaha,
,,,,West Mt Scott,
,,,,West Portland Park,
,,,,West Slope,
,,,,Westlake,
,,,,Westridge,
,,,,Wildwood,
,,,,Wilkes,
,,,,Willamette,
,,,,Wilsonville,
,,,,Wood Village,
,,,,Woodland Park,
,,,,Woodlawn,
,,,,Woodstock,
